DP04_0001E,DP03_0120PE,DP05_0001E,DP03_0119PE,zip code tabulation area
4155,23.5,8642,15.7,43964
21688,17.4,51116,11.2,28216
27830,4.2,71605,3.1,28277
9720,3.4,27286,3.2,28278
15525,30.2,29414,17.1,28303
27278,21.4,58110,14.2,28314
270,0,444,19.8,28330
632,62.3,2329,46.1,28347
2086,25.2,4698,16.7,28351
1252,33.2,2682,20.8,28357
1196,31.3,2865,22.8,28369
2775,22.1,7249,13.4,28371
647,58,1628,36.7,28392
6162,6.9,6533,4,28428
2487,40.7,5375,25.6,28433
1214,18.2,2058,13.1,28435
1491,23.3,2596,14.5,28450
12118,13.1,19897,5.2,28461
12347,12.4,12659,9.8,28462
142,56.3,146,25.7,28537
2194,12.3,25420,11.5,28547
168,100,146,46.7,28552
8467,10.3,15204,7.5,28557
13918,22.8,27590,12.5,28560
17923,11.9,38598,6.1,28562
10664,16.7,21590,9,28570
7152,11.4,18116,9.1,28574
320,38.5,554,20,28579
1164,21.7,2602,14.2,28373
5981,38,15183,25.6,28364
2724,30.2,5564,14.7,28366
5037,42,12933,31.7,28377
3326,31.9,8854,21.9,28383
2201,40.2,5997,28.2,28386
3319,23.1,7765,13.3,28398
4691,24.6,11634,14.2,28425
3238,7.9,7525,4.5,28429
1182,52.5,2707,38,28464
2490,17.6,5366,12.2,28073
1518,21,3629,15.6,28098
1428,19.9,2453,12.8,28119
11453,22,25158,16.7,28144
13191,28.2,27581,18.5,28150
4471,10.2,10056,10,28168
18212,3.6,56910,3.2,28173
21781,34.4,48539,19.7,28205
14818,13.3,41356,9.5,28214
5428,13.7,17830,11,28307
5721,18,13700,11.8,28315
1923,13.4,4371,5.9,28318
4710,26.1,9919,14.7,28320
4678,53,11075,34.7,28333
4191,7.7,9248,4.7,28730
2689,36.2,6692,21.8,28544
7009,28.1,12089,17,28470
258,0,304,0,28524
3293,23.8,6457,13.8,28530
597,21.4,1019,5,28556
1139,45.7,2053,15.6,28573
4704,17.2,10499,11.1,28621
801,0,818,6.4,28631
1351,0,1117,2.3,28644
4178,46.2,7033,22.9,28675
1882,19.5,2370,7.9,28684
14946,26.2,32330,13.6,28405
846,0,1584,4.6,28442
1221,1.1,1962,6.9,28444
4786,15.3,9294,11.2,28466
290,0,363,0,28718
3592,14,6477,6.8,28722
252,70.2,464,33.1,28077
2647,11,6074,6.4,28097
4636,6.4,11397,5.2,28103
18021,5.7,45786,4.1,28105
19327,16,53520,10.8,28110
2731,5.9,6192,4.6,28124
5358,9.8,7860,4.5,28127
1372,6.7,3248,4.5,28137
9554,13.4,20900,9,28139
17447,31,45694,21.7,28212
11613,30.8,29410,19.4,28217
20928,14.5,55769,9.8,28227
13307,32,27897,18.7,29440
1473,16.5,3548,10,29450
201,0,484,37.7,29452
11776,11.6,30609,7,29456
3171,33.5,6966,19.8,29477
916,43,2242,27.4,29525
9080,26.2,21046,14.8,29340
2138,10.3,4199,8.6,29353
323,31.1,578,21.8,29364
5538,5.6,13567,4.3,29369
595,37.1,1187,18.9,29370
1555,10.4,3756,10.1,29374
3013,23.8,7834,18.1,29385
927,62.2,2309,32.8,29448
14399,3.5,38267,4.2,29466
3111,32,9242,17.8,29472
9776,27.2,22056,17,29488
20696,17.4,46516,10.9,29501
4887,28.3,10493,16.2,29510
3700,16.3,9601,9.8,29541
322,0,524,16.7,29943
1088,14.1,2148,6.5,29482
21207,9.3,57000,5.7,29485
550,30.8,1042,21.8,29518
1390,45.3,3524,32.2,29547
7568,26.9,15066,13.6,29568
18195,8,37681,4.7,29615
13503,17.9,30295,11.9,29640
1733,0,2088,0,29643
11906,28.8,26598,15.1,29649
2796,20.2,5885,11.5,29661
1274,22.5,2084,11.8,29664
3199,20.6,6610,9.5,29666
11337,15.3,29287,9.2,29673
3566,10.6,5305,4.3,29676
1937,14.8,3669,10.4,29682
17013,12.5,41209,7,29687
7507,19.4,14413,12.5,29693
14430,11.6,35157,7.8,29710
1360,34.4,2902,15.1,29714
562,4.6,1400,4.9,29717
2675,0,2319,4.6,29439
162,44.2,487,18.5,29373
476,6.3,1981,9.2,29404
1932,30.4,4379,15,29435
3982,18,8265,7.6,29449
1491,26.7,3195,22,29458
